chapter,figure_file,maple_script,script_path,confidence,match_method
cont1d,cont1d_simplecubic_graph,normalforms.mws,Figs_cont1d/creators/normalforms.mws,medium,output-prefix
cont1d,cont1d_simplecubic_evolution,normalforms.mws,Figs_cont1d/creators/normalforms.mws,medium,output-prefix
cont1d,cont1d_generic_graphical_stable,cont1d_generic_graphical.mw,Figs_cont1d/creators/cont1d_generic_graphical.mw,medium,prefix
cont1d,cont1d_generic_graphical_unstable,cont1d_generic_graphical.mw,Figs_cont1d/creators/cont1d_generic_graphical.mw,medium,prefix
cont1d,cont1d_bifur_pitchfork1,cont1d_bifur_pitchfork.mw,Figs_cont1d/creators/cont1d_bifur_pitchfork.mw,medium,prefix
cont1d,cont1d_bifur_pitchfork2,cont1d_bifur_pitchfork.mw,Figs_cont1d/creators/cont1d_bifur_pitchfork.mw,medium,prefix
cont1d,cont1d_bifur_pitchfork3,cont1d_bifur_pitchfork.mw,Figs_cont1d/creators/cont1d_bifur_pitchfork.mw,medium,prefix
cont1d,cont1d_bifur_pitchfork,cont1d_bifur_pitchfork.mw,Figs_cont1d/creators/cont1d_bifur_pitchfork.mw,high,exact-name
cont1d,cont1d_bifur_saddle1,cont1d_saddle.mw,Figs_cont1d/creators/cont1d_saddle.mw,medium,convention
cont1d,cont1d_bifur_saddle2,cont1d_saddle.mw,Figs_cont1d/creators/cont1d_saddle.mw,medium,convention
cont1d,cont1d_bifur_saddle3,cont1d_saddle.mw,Figs_cont1d/creators/cont1d_saddle.mw,medium,convention
cont1d,cont1d_bifur_saddle,cont1d_saddle.mw,Figs_cont1d/creators/cont1d_saddle.mw,medium,convention
cont1d,cont1d_bifur_transcrit1,cont1d_transcrit.mw,Figs_cont1d/creators/cont1d_transcrit.mw,medium,convention
cont1d,cont1d_bifur_transcrit2,cont1d_transcrit.mw,Figs_cont1d/creators/cont1d_transcrit.mw,medium,convention
cont1d,cont1d_bifur_transcrit3,cont1d_transcrit.mw,Figs_cont1d/creators/cont1d_transcrit.mw,medium,convention
cont1d,cont1d_bifur_transcrit,cont1d_transcrit.mw,Figs_cont1d/creators/cont1d_transcrit.mw,medium,convention
cont1d,cont1d_bifur_pitchfork_sub1,cont1d_bifur_pitchfork.mw,Figs_cont1d/creators/cont1d_bifur_pitchfork.mw,medium,prefix
cont1d,cont1d_bifur_pitchfork_sub2,cont1d_bifur_pitchfork.mw,Figs_cont1d/creators/cont1d_bifur_pitchfork.mw,medium,prefix
