chapter,figure_file,maple_script,script_path,confidence,match_method
cont3d,cont3d_rosslerreturn,cont3d_rossler.mw,Figs_cont3d/creators/cont3d_rossler.mw,high,content
cont3d,cont3d_rosslerbifurcation,cont3d_rossler.mw,Figs_cont3d/creators/cont3d_rossler.mw,high,content
cont3d,cont3d_lorenz_bifurcation,new.mw,Figs_cont3d/creators/new.mw,high,content
cont3d,cont3d_doublewell,cont3d_forced.mws,Figs_cont3d/creators/cont3d_forced.mws,medium,output-prefix
cont3d,cont3d_doublewell_phasespace,cont3d_forced.mws,Figs_cont3d/creators/cont3d_forced.mws,high,content
cont3d,cont3d_doublewell_poincare,cont3d_forced.mws,Figs_cont3d/creators/cont3d_forced.mws,high,content
cont3d,cont4d_3body_V,cont4d_3body.mw,Figs_cont3d/creators/cont4d_3body.mw,medium,prefix
cont3d,cont4d_3body_Vcut,cont4d_3body.mw,Figs_cont3d/creators/cont4d_3body.mw,medium,prefix
cont3d,cont4d_3body_traj1,cont4d_3body.mw,Figs_cont3d/creators/cont4d_3body.mw,medium,prefix
cont3d,cont4d_3body_traj2,cont4d_3body.mw,Figs_cont3d/creators/cont4d_3body.mw,medium,prefix
cont3d,cont4d_3body_traj3,cont4d_3body.mw,Figs_cont3d/creators/cont4d_3body.mw,medium,prefix
cont3d,cont4d_3body_traj4,cont4d_3body.mw,Figs_cont3d/creators/cont4d_3body.mw,medium,prefix
cont3d,cont4d_3body_Poincare,cont4d_3body.mw,Figs_cont3d/creators/cont4d_3body.mw,medium,prefix
practice,practice_weathermodel,make_figures.py,practice/make_figures.py,high,python
